Region,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Czech Rep,捷克共和国,CZE,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.106555068,1.751452879,1.783330051,1.466015208,1.310728812,1.254871598,1.149675169,1.228350564,1.153489735,1.071320744,1.220737641,0.526827521,0.540493482,0.501332774,0.520652451,0.518730793,0.505576755,0.544147991,0.511206214,0.507583198,0.452717932,0.465772659,0.469335264,0.430555324,0.424439053
Germany,德国,DEU,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.401324717,1.141111695,1.107881211,1.003220363,0.906580533,0.916986886,0.962946642,0.866633559,0.832034511,0.821395226,0.549215564,0.764512955,0.731646535,0.699701703,0.700149958,0.690722705,0.591219141,0.582515436,0.58245182,0.599401559,0.598522778,0.470307056,0.4463947,0.430609492,0.421075315,0.414912823,0.414754804,0.414802294
djibouti,吉布提,DJI,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.971589397,1.439808793,3.769086892,3.710334208,3.652968037,5.641218503,5.467160157,5.285500948,5.101978839,4.922624931,4.751346215,4.625635566,4.39766316,4.285117057,3.73708582,4.306632214,0,3.730879244,3.916889628,3.781894218,3.668129197,3.577180077,3.490161518,3.406899564,3.326346721,3.247722206,3.218349012,3.12506761
Dominica,多米尼克,DMA,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,丹麦,DNK,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0796289,1.04351855,0.973173093,0.944579756,1.006887832,1.171280071,1.159836382,1.151509615,1.127987982,0.937877756,0.761386128,0.749677183,0.785316315,0.794316318,0.724479436,0.72392899,1.023464283,1.023631558,1.01254578,0.633581263,0.635786579,0.561765138,0.590693622,0.594205392,0.591671399,0.566295072,0.532341217,0.502371529
Dominican Rep.,多米尼加共和国,DOM,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859624189,0.838323019,0.854724763,0.833337437,0.814156253,1.42701745,1.392659942,1.358578823,1.325946079,1.294932944,1.265922582,1.238458818,1.21108322,1.18761489,1.149275235,1.151708848,1.795388173,1.768429827,1.059980873,1.066528423,1.018827415,0.96377217,1.463158508,1.43132816,1.628940063,1.527768072,1.496031043,1.471495271
Algeria,阿尔及利亚,DZA,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.954518358,1.876775955,1.809976591,1.737322133,1.670541395,2.089190077,2.049284229,3.275522344,3.171117996,3.497873761,3.437664344,3.352132882,3.409233371,3.234920967,3.257264596,3.194815226,3.275281101,3.21028429,3.149172135,3.092456396,2.862127734,2.806561301,2.748381752,2.641160978,2.736262745,2.701109618,2.665614763,2.631163719
East Asia and the Pacific (excluding high income),东亚与太平洋地区（不包括高收入）,EAP,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825380046,0.780366953,0.740342553,0.700438936,0.656195346,0.866265437,0.846136191,0.781732347,0.793672422,0.781298481,0.781850754,0.754561775,0.752948729,0.749694106,0.721976323,0.733566687,0.71572178,0.640387077,0.636312466,0.647731122,0.64686585,0.654656888,0.651731591,0.648191132,0.644180983,0.627761924,0.62087609,0.617449089
Early demographic dividend,早人口紅利,EAR,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942290311,0.924863166,0.87864492,0.855848136,0.82702183,1.160436239,1.177723289,1.176915877,1.145581555,1.12467829,1.118548191,1.038525164,1.030988121,1.007088092,0.98895383,1.028484594,1.021745678,0.973341937,0.959364779,0.95789851,0.933611874,0.910158212,0.903506524,0.885405921,0.877026702,0.858731945,0.861563366,0.845786831
East Asia and the Pacific,东亚与太平洋地区,EAS,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883641638,0.851152332,0.811117159,0.782023592,0.73720604,0.91250024,0.894933344,0.84673626,0.857495476,0.845198577,0.842772096,0.816480742,0.814727843,0.805339676,0.781605312,0.790870672,0.770785496,0.701244353,0.696772882,0.70401453,0.702650257,0.709023005,0.705652337,0.701643138,0.688737072,0.673492551,0.666378966,0.652695403
Europe and central Asia (excluding high income),欧洲与中亚地区（不包括高收入）,ECA,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.295507259,1.907332182,1.921704941,2.444451072,2.398695931,2.539500351,2.477850325,2.270972636,2.188700543,2.070424424,2.006934564,1.966083481,1.898023276,1.895666581,1.770005175,1.766861684,1.750427614,1.744538699,1.694119051,1.602527488,1.592996514,1.47413014,1.534230639,1.603586878,1.58884309,1.573311182
Europe and central Asia,欧洲与中亚地区,ECS,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.871959482,1.661820843,1.657791981,1.983621573,1.927232193,1.940648829,1.886737814,1.765209216,1.663024375,1.590008732,1.544390646,1.494538856,1.416302953,1.445256251,1.326472852,1.30774368,1.29424247,1.255294612,1.239000985,1.180523513,1.178362375,1.117384905,1.138187507,1.163567469,1.154678802,1.140023751
Ecuador,厄瓜多尔,ECU,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.302362338,1.260594044,1.314846439,1.275736587,1.235993966,1.208668639,1.175634945,1.141618615,1.072344867,1.051034051,1.038460778,1.05570224,1.037633474,1.020251828,0.745419264,0.751033326,0.874198296,0.888079074,0.866425393,0.880499014,0.875706613,0.867174399,0.834152038,0.831534446,0.56434112,0.53230323,0.505891369,0.492884965
Egypt,阿拉伯埃及共和国,EGY,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80143126,2.731370011,2.605736997,2.538006498,2.456764937,3.479696796,3.766611978,3.75126488,3.694330045,3.475819262,3.385824508,3.769202319,3.72760801,3.614795357,3.558168882,3.434976096,3.599421765,3.438149243,3.372031746,3.254072817,3.043546207,2.992477974,2.906845062,2.819949705,2.763963474,2.803167139,2.770407157,2.726499102
European monetary union,欧洲货币联盟,EMU,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.849294071,1.725279396,1.606697106,1.527981321,1.524471176,1.669983149,1.650551923,1.550419222,1.498710563,1.417534199,1.278574345,1.284180328,1.279042202,1.2200175,1.178776523,1.175226341,1.123457876,1.10179233,1.088577261,0.992679681,1.013688685,0.971720348,0.948917354,0.935823791,0.918576182,0.907895742,0.903661206,0.879554956
Eritrea,厄立特里亚,ERI,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.787524202,5.93535855,6.058836813,6.039529268,5.008236371,5.045873525,20.89560659,20.19186308,16.28426896,15.22642005,16.65766438,15.53204198,14.74636615,0,13.88215971,13.57233179,13.32683341,13.14734805,13.09476521,13.06201463,13.03966774,13.01753997,12.98420464,12.79907326,12.65921945
Spain,西班牙,ESP,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.686442719,1.562588729,1.246324366,1.265977458,1.296616088,1.702267389,1.678205543,1.59350287,1.54783073,1.477388203,1.323620361,1.179555615,1.31867885,1.129822165,1.073222875,1.034319326,1.013698167,0.988525314,0.966603544,0.953327042,0.948749441,0.915580778,0.914902678,0.915848407,0.864220577,0.86718721,0.859916833,0.854974848
Estonia,爱沙尼亚,EST,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399223909,0.682975204,0.558007689,0.780857353,0.792559737,0.905883063,1.048858595,1.128041631,1.11880041,1.091086274,1.237257016,1.195065706,0.884608693,1.187257169,1.009484831,1.011510995,1.003092391,0.78929113,0.840685063,0.836024362,0.839848856,0.84453381,0.850575359,0.93270939,0.92134453,0.854491492
Ethiopia,埃塞俄比亚,ETH,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.246316325,0.579047094,0.559519414,0.540668523,0.522303582,0.501951672,0.484451117,0.467842276,0.451946488,1.18400573,1.237808465,0.858976387,0.831329664,0.517264977,0.560831428,0.545520919,0,0.387649041,0.375792903,0.363826349,0.35182753,0.339558841,0.327561828,0.315936561,0.30474187,0.294118186,0.284396347,0.275113557
The European Union,欧洲联盟,EUU,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.695211554,1.630894097,1.550490389,1.477947609,1.468607196,1.700220543,1.652771286,1.570152968,1.528321189,1.454000795,1.344788444,1.268591099,1.243370175,1.185425587,1.111433124,1.112993683,1.038508184,1.006857541,0.997076806,0.925208219,0.934054798,0.892877496,0.896951833,0.881622817,0.872282706,0.86257053,0.852889666,0.8288437
Vulnerable and conflict-affected situations,脆弱和受衝突影響的情況下,FCS,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.106520961,2.055163762,1.825047888,1.871915533,1.727024034,2.49432884,2.532996072,2.433920898,2.410634442,2.337712112,2.416472029,2.124992278,2.107150581,2.133469541,1.648253809,1.699282299,0,1.793116587,1.957858376,2.073673137,2.22125592,2.169634496,1.990996432,1.479886284,1.391398291,1.376278628,1.291013749,1.219899049
Finland,芬兰,FIN,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.181878523,1.239611475,1.300910953,1.232795053,1.403090728,1.393920245,1.464911106,1.373878183,1.39155339,1.367769429,1.357291264,1.357256318,1.330315411,1.148484115,1.186966344,1.179651394,1.202502106,1.18937531,1.177037903,0.931390538,0.932198993,0.928702402,0.926483532,0.931612211,0.930396654,0.92395858,0.900173042,0.922622255
Fiji,斐济,FJI,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.858155818,1.827004589,1.802431841,1.769642143,1.391076937,1.330472249,1.215251405,1.207255606,1.166550012,1.161378523,1.158146568,1.138459437,1.122618845,1.108363074,0.937110513,1.230409573,1.198487509,1.163761627,1.128515325,0.958588957,0.933201441,0.915329414,0.932125299,0.952803556,0.976211129,0.988114395,0.993068383,1.130738853
France,法国,FRA,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12025762,2.090915958,1.998475339,1.928707059,1.92375578,1.900222293,1.836024169,1.770137654,1.6808878,1.512205271,1.419257945,1.360884261,1.298859911,1.26802275,1.250765876,1.241480728,1.218120806,1.204834575,1.196493359,1.1498865,1.146151156,1.113867759,1.083176728,1.054539987,1.036619535,1.01377285,1.010444817,1.014731052
The faroe islands,法罗群岛,FRO,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federated states of Micronesia,密克罗尼西亚联邦,FSM,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,加蓬,GAB,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.566390337,3.880134873,2.649056747,2.585926648,2.161032974,3.33340351,3.244324993,3.154951281,3.062629154,2.959602977,2.020232477,1.95745029,1.892981559,1.828981994,1.578685639,1.772537818,0,1.620771812,1.543829314,1.406472713,1.339407982,1.275874545,1.213163732,1.154346459,1.100648561,1.052757281,1.01981485,1.034508239
United Kingdom,英国,GBR,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06063517,1.041186249,1.0193526,0.950668113,0.903406066,0.8199066,0.774972716,0.759762107,0.75794675,0.750397435,0.72533113,0.722460409,0.711073692,0.711776084,0.680093549,0.70937109,0.583146793,0.512098339,0.50544045,0.560587751,0.543459438,0.51439382,0.519663894,0.484405447,0.466729291,0.455868407,0.445781515,0.436539217
Georgia,格鲁吉亚,GEO,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990219797,0.276911002,0.571461693,0.640291768,1.739236919,1.782445278,1.522224713,1.629108561,1.355766431,1.441549607,1.415788466,1.091080418,1.148495471,1.649507622,1.650408476,1.648274257,1.624358703,1.605951077,1.593751509,1.578640963,1.600489992,1.593530905,1.266803381,1.282209673,1.284939227
Ghana,加纳,GHA,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145439573,0.141067577,0.106330476,0.103042613,0.099895082,0.177250261,0.195240258,0.104836322,0.102070695,0.09932807,0.096567158,0.082802921,0.081047073,0.079259984,0.07748654,0.075751271,0,0.144276842,0.140689095,0.151968413,0.148368535,0.145138044,0.14207557,0.139159552,0.136361917,0.133661295,0.130146212,0.130853432
Gibraltar,直布罗陀,GIB,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,几内亚,GIN,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65269749,0.637891251,0.623379991,0.609196429,0.476027645,0.74765689,0.731856778,0.715816693,0.699737544,0.684159406,0.669041939,0.589878168,0.647368163,0.40530054,0.35565649,0.411748907,0,0.57518396,0.561231377,0.555384016,0.541468187,0.336649007,0.328320178,0.319829424,0.311149708,0.302247839,0.292641424,0.299107807
Gambia,冈比亚,GMB,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64796006,0.628656028,0.30606311,0.298766096,0.291339638,0.227163663,0.222140771,0.216859174,0.211308156,0.205429502,0.199215589,0.192302607,0.185344358,0.178439988,0.171688557,0.165145266,0,0.191797217,0.184781745,0.142412105,0.137228095,0.132598077,0.128087304,0.124011973,0.12000012,0.116194288,0.112672724,0.136611089
Guinea-Bissau,几内亚比绍共和国,GNB,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.147540984,3.08276452,2.76531292,2.704343914,1.681507976,2.157679463,2.142743587,2.090225428,2.042325823,2.00914702,1.964673896,2.327722766,2.26670946,2.771358981,1.707873868,1.659904094,1.615720602,1.571434807,1.018214154,1.064564572,1.033695132,1.003675475,0.974220171,0.945596671,0.917637418,0.614731735,0.597582544,0.522132546
Eq. Guinea,赤道几内亚,GNQ,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70970306,0.68715771,0.665455538,0.64347994,0.620274285,0.953408136,0.917115671,0.888830365,0.83701708,0.796114959,0.756165109,0.722739181,0.989613362,0.531201988,0.387127245,0.36618367,0,0.330210641,0.312270676,0.389280627,0.3676102,0.351270295,0.334993922,0.318946125,0.303388993,0.288596503,0.306176531,0.203472461
Greece,希腊,GRC,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.780713887,4.913882413,4.847812483,4.920249228,4.642657367,4.454617317,4.295916006,3.572957844,3.603475631,3.487979428,3.332912635,3.372783046,3.712577788,3.676684214,3.321159725,3.342851173,3.179974928,3.179897046,3.175121562,2.790634654,2.911561846,2.921864786,2.926172092,2.989692336,2.984367156,2.993977206,2.96265586,2.980603417
Grenada,格林纳达,GRD,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,格陵兰,GRL,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,危地马拉,GTM,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.380972384,1.344886008,1.341220932,1.30801181,0.984798192,1.591913866,1.552033218,1.349149822,1.068988967,1.031229877,1.297009229,1.198969742,1.163477338,1.129771773,1.043379367,1.015821634,0.720504402,0.700060345,0.67983461,0.645525389,0.627458173,0.753207408,0.676974389,0.708170124,0.693143961,0.676224072,0.64979602,0.628558941
Guam,关岛,GUM,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,圭亚那,GUY,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41694238,1.404612748,0.695473165,0.689225001,0.692154087,1.079898559,1.084853002,1.091630015,1.101071236,1.113669757,1.128664062,1.142326514,1.158064613,1.165295252,0.753309855,1.130705824,1.11464909,1.09724117,1.081989562,0.924871941,0.912770716,0.379743777,0.373088768,0.366512731,1.113998041,1.097103325,1.083475407,0.944578435
High-income country,高收入国家,HIC,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.648821557,1.611416073,1.515925065,1.473345769,1.427213089,1.466005809,1.420459803,1.38777458,1.375895343,1.337474483,1.259059584,1.22873139,1.213248159,1.178345584,1.135896131,1.168492272,1.097077154,1.084911353,1.06793676,1.037062625,1.036583922,1.009110292,0.999944422,0.979850169,0.94479234,0.930789989,0.92571721,0.894778772
Hong Kong special administrative region of China,中国香港特别行政区,HKG,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,洪都拉斯,HND,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.016950302,0.927703519,0.895040214,0.863068585,0.834663066,1.150691315,1.109717748,1.069317283,0.60684427,0.586455663,0.575871469,0.566645427,0.550546523,0.673130213,0.72683372,0.706880635,0.701313174,0.69015875,0.660978506,0.629400097,0.598753455,0.600457789,0.590516076,0.547060616,0.485477348,0.471285483,0.562527956,0.552978329
Heavily indebted poor countries (HIPC),重债穷国 (HIPC),HPC,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734952025,0.605211603,0.564596791,0.570987556,0.524319837,0.963367501,0.95485903,0.92889355,0.890155485,0.963523792,1.001537559,0.706003633,0.725288923,0.673308412,0.581524452,0.575934253,0,0.558150585,0.564608145,0.616334634,0.621224595,0.663095052,0.575255491,0.552975525,0.5224077,0.507998851,0.453157191,0.432225953
Croatia,克罗地亚,HRV,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.881817363,3.792930641,3.301782444,7.170511415,5.094620285,4.814362126,4.750774508,5.031243524,5.096256169,3.596822999,3.257292464,1.634345885,1.550136851,1.601364569,1.092792668,1.084395395,1.133442212,1.114919847,1.128886427,1.149927065,1.051168518,1.061657598,1.031428225,0.976316303,1.008637855,0.983049496
Haiti,海地,HTI,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297115786,0.292046479,0.287452139,0.283042266,0,0.239435671,0.23532291,0.181545174,0.171660809,0.16842207,0.165255396,0.252114956,0.15676851,0.152622032,0,0,0.143521671,0,0,0,0,0.001170427,0.001141339,0.002671002,0.002606628,0.002546317,0.004148081,0
Hungary,匈牙利,HUN,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.084540537,1.927209945,1.721820856,1.482091884,1.409572075,1.745223228,1.914394457,1.847286035,1.741278054,1.570344551,1.389248419,1.152541523,1.142118587,1.122844653,1.094692052,1.029629942,1.022142629,0.863024284,0.868805243,0.977464037,0.804426474,0.892000723,0.881175236,0.87463325,0.850600712,0.834121596,0.849483117,0.848398055
Only the IBRD,只有IBRD,IBD,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87685221,0.789267736,0.860187298,0.797020624,0.770318611,1.052491198,1.038229935,1.002940165,0.991577928,0.950561423,0.938675289,0.901239423,0.87989064,0.865243371,0.830911849,0.853800339,0.838477363,0.786040573,0.790163717,0.796759874,0.791847673,0.7879495,0.788213371,0.743275907,0.74970059,0.749139241,0.746664047,0.745241832
IBRD and IDA,IBRD与IDA,IBT,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893946766,0.811962639,0.859417012,0.80544401,0.770382116,1.085630327,1.073596658,1.040418093,1.025448952,0.995185736,0.984322783,0.925751607,0.910603665,0.89321346,0.853910183,0.870069874,0.873231269,0.807254048,0.80875453,0.817130605,0.816478841,0.808121928,0.797633912,0.756233961,0.754460566,0.751293746,0.742366839,0.732957914
IDA total,IDA總,IDA,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978218097,0.923662333,0.855518648,0.848099495,0.770701013,1.24747684,1.244341798,1.219093614,1.184913938,1.203092652,1.197571184,1.041545816,1.051560573,1.02005523,0.954149615,0.941913023,0,0.898562262,0.887552984,0.901633904,0.916450589,0.888700376,0.834843411,0.806628707,0.77244994,0.759278112,0.726705674,0.689117842
